iso_code,country,year,scenario,debt_gt,fs_gt,emissions_mt,ai_emissions_mt_eff,emissions_gt,cum_emissions_gt,cum_fs_gt
AUT,Austria,2031,ndc,0.2495839361600175,0.0,28.072144022859597,,,,
AUT,Austria,2032,ndc,0.2751285121828771,0.0,25.544576022859587,,,,
AUT,Austria,2033,ndc,0.2981455202057368,0.0,23.01700802285972,,,,
AUT,Austria,2034,ndc,0.3186349602285965,0.0,20.489440022859682,,,,
AUT,Austria,2035,ndc,0.3365968322514561,0.0,17.961872022859595,,,,
AUT,Austria,2036,ndc,0.3520311362743157,0.0,15.434304022859614,,,,
AUT,Austria,2037,ndc,0.3649378722971753,0.0,12.906736022859578,,,,
AUT,Austria,2038,ndc,0.3753170403200351,0.0,10.379168022859819,,,,
AUT,Austria,2039,ndc,0.3831686403428947,0.0,7.851600022859618,,,,
AUT,Austria,2040,ndc,0.3884926723657543,0.0,5.324032022859582,,,,
AUT,Austria,2041,ndc,0.3912891363886139,0.0,2.7964640228596016,,,,
AUT,Austria,2042,ndc,0.3915580324114735,0.0,0.26889602285962155,,,,
AUT,Austria,2043,ndc,0.3892993604343333,0.0,-2.2586719771402475,,,,
AUT,Austria,2044,ndc,0.3845131204571929,0.0,-4.786239977140394,,,,
AUT,Austria,2045,ndc,0.3771993124800525,0.0,-7.313807977140375,,,,
AUT,Austria,2046,ndc,0.3673579365029122,0.0,-9.841375977140299,,,,
AUT,Austria,2047,ndc,0.3549889925257717,0.0,-12.3689439771405,,,,
AUT,Austria,2048,ndc,0.3400924805486314,0.0,-14.896511977140314,,,,
AUT,Austria,2049,ndc,0.3226684005714911,0.0,-17.424079977140295,,,,
AUT,Austria,2050,ndc,0.3027167525943507,0.0,-19.951647977140386,,,,
AZE,Azerbaijan,2025,ambitious,0.0158666043834252,0.0,15.866604383425202,,,,
AZE,Azerbaijan,2026,ambitious,0.030544095864094,0.0,14.6774914806688,,,,
AZE,Azerbaijan,2027,ambitious,0.0441045418906295,0.0,13.560446026535496,,,,
AZE,Azerbaijan,2028,ambitious,0.056613651019132,0.0,12.509109128502505,,,,
AZE,Azerbaijan,2029,ambitious,0.0681314996437524,0.0,11.517848624620393,,,,
AZE,Azerbaijan,2030,ambitious,0.0787131577924641,0.0,10.581658148711703,,,,
AZE,Azerbaijan,2031,ambitious,0.0892948159411758,0.0,10.581658148711703,,,,
AZE,Azerbaijan,2032,ambitious,0.0998764740898874,0.0,10.581658148711593,,,,
AZE,Azerbaijan,2033,ambitious,0.1104581322385991,0.0,10.581658148711703,,,,
AZE,Azerbaijan,2034,ambitious,0.1210397903873108,0.0,10.581658148711703,,,,
AZE,Azerbaijan,2035,ambitious,0.1316214485360225,0.0,10.581658148711703,,,,
AZE,Azerbaijan,2036,ambitious,0.1422031066847341,0.0,10.581658148711593,,,,
