iso_code,country,year,scenario,debt_gt
AZE,Azerbaijan,2037,baseline,0.2227548892356373
AZE,Azerbaijan,2038,baseline,0.23988988071530165
AZE,Azerbaijan,2039,baseline,0.25702487219496606
AZE,Azerbaijan,2040,baseline,0.2741598636746305
AZE,Azerbaijan,2041,baseline,0.29129485515429493
AZE,Azerbaijan,2042,baseline,0.3084298466339594
AZE,Azerbaijan,2043,baseline,0.3255648381136237
AZE,Azerbaijan,2044,baseline,0.34269982959328815
AZE,Azerbaijan,2045,baseline,0.35983482107295256
AZE,Azerbaijan,2046,baseline,0.37696981255261686
AZE,Azerbaijan,2047,baseline,0.3941048040322813
AZE,Azerbaijan,2048,baseline,0.4112397955119458
AZE,Azerbaijan,2049,baseline,0.42837478699161013
AZE,Azerbaijan,2050,baseline,0.4455097784712746
AZE,Azerbaijan,2025,ndc,0.017134991479664404
AZE,Azerbaijan,2026,ndc,0.03269718295932881
AZE,Azerbaijan,2027,ndc,0.04668657443899324
AZE,Azerbaijan,2028,ndc,0.059103165918657635
AZE,Azerbaijan,2029,ndc,0.06994695739832205
AZE,Azerbaijan,2030,ndc,0.07921794887798644
AZE,Azerbaijan,2031,ndc,0.08691614035765086
AZE,Azerbaijan,2032,ndc,0.09304153183731528
AZE,Azerbaijan,2033,ndc,0.09759412331697967
AZE,Azerbaijan,2034,ndc,0.10057391479664407
AZE,Azerbaijan,2035,ndc,0.10198090627630849
AZE,Azerbaijan,2036,ndc,0.10181509775597292
AZE,Azerbaijan,2037,ndc,0.10007648923563728
AZE,Azerbaijan,2038,ndc,0.09676508071530171
AZE,Azerbaijan,2039,ndc,0.0918808721949661
AZE,Azerbaijan,2040,ndc,0.08542386367463056
AZE,Azerbaijan,2041,ndc,0.07739405515429493
AZE,Azerbaijan,2042,ndc,0.06779144663395936
AZE,Azerbaijan,2043,ndc,0.05661603811362376
AZE,Azerbaijan,2044,ndc,0.04386782959328822
AZE,Azerbaijan,2045,ndc,0.02954682107295259
AZE,Azerbaijan,2046,ndc,0.013653012552616972
AZE,Azerbaijan,2047,ndc,-0.003813595967718575
AZE,Azerbaijan,2048,ndc,-0.022853004488054163
AZE,Azerbaijan,2049,ndc,-0.04346521300838979
AZE,Azerbaijan,2050,ndc,-0.06565022152872535
BEL,Belgium,2025,ambitious,0.062270454854328125
BEL,Belgium,2026,ambitious,0.12120521567441102
BEL,Belgium,2027,ambitious,0.17704786494727182
BEL,Belgium,2028,ambitious,0.23001624430065976
BEL,Belgium,2029,ambitious,0.2803059580169487
BEL,Belgium,2030,ambitious,0.3280933000953995
BEL,Belgium,2031,ambitious,0.3758806421738503
BEL,Belgium,2032,ambitious,0.42366798425230123
BEL,Belgium,2033,ambitious,0.471455326330752
BEL,Belgium,2034,ambitious,0.5192426684092029
BEL,Belgium,2035,ambitious,0.5670300104876538
BEL,Belgium,2036,ambitious,0.6148173525661045
BEL,Belgium,2037,ambitious,0.6626046946445553
BEL,Belgium,2038,ambitious,0.7103920367230061
BEL,Belgium,2039,ambitious,0.7581793788014568
BEL,Belgium,2040,ambitious,0.8059667208799077
BEL,Belgium,2041,ambitious,0.8537540629583587
BEL,Belgium,2042,ambitious,0.9015414050368095
BEL,Belgium,2043,ambitious,0.9493287471152603
BEL,Belgium,2044,ambitious,0.9971160891937111
BEL,Belgium,2045,ambitious,1.044903431272162
BEL,Belgium,2046,ambitious,1.0926907733506126
BEL,Belgium,2047,ambitious,1.1404781154290635
BEL,Belgium,2048,ambitious,1.1882654575075142
BEL,Belgium,2049,ambitious,1.236052799585965
BEL,Belgium,2050,ambitious,1.283840141664416
BEL,Belgium,2025,baseline,0.06587969401695383
BEL,Belgium,2026,baseline,0.13175938803390763
BEL,Belgium,2027,baseline,0.1976390820508615
BEL,Belgium,2028,baseline,0.2635187760678153
BEL,Belgium,2029,baseline,0.3293984700847691
BEL,Belgium,2030,baseline,0.395278164101723
BEL,Belgium,2031,baseline,0.4611578581186768
BEL,Belgium,2032,baseline,0.5270375521356306
BEL,Belgium,2033,baseline,0.5929172461525845
BEL,Belgium,2034,baseline,0.6587969401695382
BEL,Belgium,2035,baseline,0.7246766341864921
BEL,Belgium,2036,baseline,0.790556328203446
BEL,Belgium,2037,baseline,0.8564360222203998
BEL,Belgium,2038,baseline,0.9223157162373536
BEL,Belgium,2039,baseline,0.9881954102543073
BEL,Belgium,2040,baseline,1.0540751042712613
BEL,Belgium,2041,baseline,1.119954798288215
BEL,Belgium,2042,baseline,1.185834492305169
BEL,Belgium,2043,baseline,1.2517141863221226
BEL,Belgium,2044,baseline,1.3175938803390763
BEL,Belgium,2045,baseline,1.3834735743560305
BEL,Belgium,2046,baseline,1.449353268372984
BEL,Belgium,2047,baseline,1.515232962389938
BEL,Belgium,2048,baseline,1.581112656406892
BEL,Belgium,2049,baseline,1.6469923504238455
BEL,Belgium,2050,baseline,1.7128720444407997
BEL,Belgium,2025,ndc,0.06587969401695383
BEL,Belgium,2026,ndc,0.12809404403390762
BEL,Belgium,2027,ndc,0.18664305005086146
BEL,Belgium,2028,ndc,0.24152671206781529
BEL,Belgium,2029,ndc,0.29274503008476904
BEL,Belgium,2030,ndc,0.3402980041017229
BEL,Belgium,2031,ndc,0.3841856341186768
BEL,Belgium,2032,ndc,0.42440792013563056
BEL,Belgium,2033,ndc,0.4609648621525843
BEL,Belgium,2034,ndc,0.49385646016953816
BEL,Belgium,2035,ndc,0.523082714186492
BEL,Belgium,2036,ndc,0.5486436242034458
BEL,Belgium,2037,ndc,0.5705391902203997
BEL,Belgium,2038,ndc,0.5887694122373535
BEL,Belgium,2039,ndc,0.6033342902543073
BEL,Belgium,2040,ndc,0.614233824271261
BEL,Belgium,2041,ndc,0.621468014288215
BEL,Belgium,2042,ndc,0.6250368603051687
BEL,Belgium,2043,ndc,0.6249403623221226
BEL,Belgium,2044,ndc,0.6211785203390764
BEL,Belgium,2045,ndc,0.6137513343560301
BEL,Belgium,2046,ndc,0.6026588043729839
BEL,Belgium,2047,ndc,0.5879009303899377
BEL,Belgium,2048,ndc,0.5694777124068915
BEL,Belgium,2049,ndc,0.5473891504238454
BEL,Belgium,2050,ndc,0.5216352444407992
BGD,Bangladesh,2025,ambitious,-0.2729855184187059
BGD,Bangladesh,2026,ambitious,-0.5491474864305461
BGD,Bangladesh,2027,ambitious,-0.8282933919391888
BGD,Bangladesh,2028,ambitious,-1.1102477092097236
BGD,Bangladesh,2029,ambitious,-1.3948499575702167
BGD,Bangladesh,2030,ambitious,-1.6819530297380478
BGD,Bangladesh,2031,ambitious,-1.9690561019058792
BGD,Bangladesh,2032,ambitious,-2.2561591740737104
BGD,Bangladesh,2033,ambitious,-2.5432622462415417
BGD,Bangladesh,2034,ambitious,-2.830365318409373
BGD,Bangladesh,2035,ambitious,-3.1174683905772045
BGD,Bangladesh,2036,ambitious,-3.404571462745035
BGD,Bangladesh,2037,ambitious,-3.691674534912867
BGD,Bangladesh,2038,ambitious,-3.9787776070806977
BGD,Bangladesh,2039,ambitious,-4.2658806792485295
BGD,Bangladesh,2040,ambitious,-4.55298375141636
BGD,Bangladesh,2041,ambitious,-4.840086823584191
BGD,Bangladesh,2042,ambitious,-5.127189895752023
BGD,Bangladesh,2043,ambitious,-5.414292967919854
BGD,Bangladesh,2044,ambitious,-5.701396040087686
BGD,Bangladesh,2045,ambitious,-5.988499112255516
BGD,Bangladesh,2046,ambitious,-6.275602184423349
BGD,Bangladesh,2047,ambitious,-6.56270525659118
BGD,Bangladesh,2048,ambitious,-6.84980832875901
BGD,Bangladesh,2049,ambitious,-7.1369114009268415
BGD,Bangladesh,2050,ambitious,-7.424014473094672
BGD,Bangladesh,2025,baseline,-0.26959730551963057
BGD,Bangladesh,2026,baseline,-0.5391946110392611
BGD,Bangladesh,2027,baseline,-0.8087919165588918
BGD,Bangladesh,2028,baseline,-1.0783892220785223
BGD,Bangladesh,2029,baseline,-1.3479865275981529
BGD,Bangladesh,2030,baseline,-1.6175838331177832
BGD,Bangladesh,2031,baseline,-1.887181138637414
BGD,Bangladesh,2032,baseline,-2.1567784441570446
BGD,Bangladesh,2033,baseline,-2.426375749676675
BGD,Bangladesh,2034,baseline,-2.6959730551963057
BGD,Bangladesh,2035,baseline,-2.9655703607159367
BGD,Bangladesh,2036,baseline,-3.2351676662355664
BGD,Bangladesh,2037,baseline,-3.504764971755197
BGD,Bangladesh,2038,baseline,-3.774362277274828
BGD,Bangladesh,2039,baseline,-4.043959582794459
BGD,Bangladesh,2040,baseline,-4.313556888314089
BGD,Bangladesh,2041,baseline,-4.583154193833719
BGD,Bangladesh,2042,baseline,-4.85275149935335
BGD,Bangladesh,2043,baseline,-5.122348804872981
BGD,Bangladesh,2044,baseline,-5.391946110392611
BGD,Bangladesh,2045,baseline,-5.6615434159122415
BGD,Bangladesh,2046,baseline,-5.931140721431873
BGD,Bangladesh,2047,baseline,-6.200738026951504
BGD,Bangladesh,2048,baseline,-6.470335332471133
BGD,Bangladesh,2049,baseline,-6.739932637990765
BGD,Bangladesh,2050,baseline,-7.009529943510394
BGD,Bangladesh,2025,ndc,-0.26959730551963057
BGD,Bangladesh,2026,ndc,-0.5433959950392613
BGD,Bangladesh,2027,ndc,-0.8213960685588919
BGD,Bangladesh,2028,ndc,-1.1035975260785225
BGD,Bangladesh,2029,ndc,-1.390000367598153
BGD,Bangladesh,2030,ndc,-1.6806045931177833
BGD,Bangladesh,2031,ndc,-1.975410202637414
BGD,Bangladesh,2032,ndc,-2.2744171961570445
BGD,Bangladesh,2033,ndc,-2.5776255736766753
